Tool Name,Top-Level Category,Sub-Categories,Description,Website,Linux-Distro
dirb,Web Security,3. Web Application Analysis,A web content scanner that can be used to find hidden web directories and files by brute-forcing common file names and paths.,,Kali
gobuster,Web Security,3. Web Application Analysis,A tool that can be used to find hidden web directories and files by brute-forcing common file names and paths.,,Kali
hping3,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A TCP/IP packet assembler and network traffic generator, which can be used for network reconnaissance, testing, and attacks.",,Kali
aircrack-ng,Wireless Security,6. Wireless Attacks,"A suite of tools for auditing wireless networks, including capabilities for packet capture, WEP/WPA cracking, and wireless frame injection.",,Kali
wpscan,Web Security,3. Web Application Analysis,A tool that can be used to scan WordPress-based websites for vulnerabilities and security issues.,,Kali
netdiscover,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to discover network hosts and their MAC addresses, which can be useful for network mapping and reconnaissance.",,Kali
maltego,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,A powerful OSINT (Open-Source Intelligence) tool that can be used to map relationships and gather information about a target.,,Kali
steghide,Cryptography and Steganography,21. Crypto & Steganography,"A tool that can be used to hide data within image or audio files, as well as to extract data from such files.",,Kali
mimikatz,$,,"A tool that can be used to extract plaintext passwords, hash values, PIN codes, and Kerberos tickets from memory, which can be used for lateral movement and privilege escalation.",,Kali
ettercap,Sniffing & Spoofing,9. Sniffing & Spoofing,"A comprehensive suite of tools for network analysis and penetration testing, including packet sniffing, traffic interception, and man-in-the-middle attacks.",,Kali
amass,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to discover subdomains and gather information about a target's attack surface, which can be useful for network mapping and vulnerability identification.",,Kali
theharvester,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to gather information about a target, including subdomains, email addresses, and other open-source intelligence (OSINT).",,Kali
autopsy,Forensics,11. Forensics,"A graphical interface for the Sleuth Kit, which can be used to perform digital forensic investigations and analyze evidence from various sources.",,Kali
nikto,Web Security,3. Web Application Analysis,A web server scanner that can be used to identify potential vulnerabilities and security issues in web servers and web applications.,,Kali
netcat,Networking Tools,14. Networking Tools,"A versatile tool for working with TCP/IP connections, which can be used for a variety of tasks such as port scanning, file transfers, and remote shell access.",,Kali
burpsuite,Web Security,3. Web Application Analysis,"A comprehensive tool for testing the security of web applications, including features for proxy, scanner, intruder, and more.",,Kali
beef-xss,Exploitation and Attack,8. Exploitation Tools,"A framework for developing and deploying cross-site scripting (XSS) exploits, which can be used to gain control of a victim's web browser.",,Kali
powershell,Operating System Security,73. Windows Specific Tools,"A powerful scripting language and command-line shell that can be used for system administration, automation, and security testing on Windows systems.",,Kali
responder,Exploitation and Attack,8. Exploitation Tools,"A tool that can be used to perform LLMNR, NBT-NS, and MDNS poisoning, which can be used to gather credentials and perform further attacks.",,Kali
snort,Defense and Incident Response,45. Network Defense Tools,A network intrusion detection and prevention system (IDS/IPS) that can be used to detect and prevent network-based attacks.,,Kali
john,Password Attacks,26. Password Attacks,"A versatile password cracking tool that can be used to recover passwords from a variety of sources, including hashed passwords, encrypted files, and more.",,Kali
rkhunter,$,$,"A tool that can be used to scan a system for the presence of rootkits, backdoors, and other malicious software, helping to identify potential security issues.",,Kali
ffuf,Web Security,3. Web Application Analysis,A fast web fuzzer that can be used to discover hidden web content and other vulnerabilities in web applications.,,Kali
macchanger,$,$,"A tool that can be used to change the MAC address of a network interface, which can be useful for network reconnaissance, anonymity, and other security-related tasks.",,Kali
cisco-torch,Exploitation and Attack,8. Exploitation Tools,"A tool that can be used to perform various attacks against Cisco devices, such as password guessing, DoS, and information gathering.",,Kali
tcpdump,Network and Protocol Analysis,52. Network Protocol Analysis,"A command-line packet analyzer that can be used to capture and analyze network traffic, which can be useful for security auditing and troubleshooting.",,Kali
bloodhound,Post-Exploitation,22. Privilege Escalation,"A tool that can be used to visualize and analyze the relationships between users, computers, and groups in an Active Directory environment, which can be useful for identifying attack paths and privilege escalation opportunities.",,Kali
lynis,Defense and Incident Response,46. Incident Response,"A security auditing and hardening tool that can be used to assess the security posture of a system, identify potential vulnerabilities, and recommend remediation steps.",,Kali
yersinia,$,$,"A framework for layer 2 attacks, which can be used to exploit vulnerabilities in various network protocols, such as DHCP, CDP, STP, and others.",,Kali
dirbuster,Web Security,3. Web Application Analysis,A graphical tool that can be used to find hidden web directories and files by brute-forcing common file names and paths.,,Kali
cewl,Password Attacks,26. Password Attacks,"A tool that can be used to create custom wordlists by scraping the content of a given URL, which can be useful for password cracking and other security testing.",,Kali
armitage,Exploitation and Attack,8. Exploitation Tools,"A graphical user interface for the Metasploit Framework, which can be used to perform network attacks and exploits.",,Kali
airgeddon,$,$,A multi-use bash script for Linux systems that allows you to audit wireless networks and various other wireless hacking tasks.,,Kali
above,$,$,"A tool that can be used to perform over-the-air firmware updates on Atheros Wi-Fi chips, which can be useful for security research and testing.",,Kali
wifiphisher,$,$,"A suite of tools that can be used to conduct phishing attacks against wireless networks, tricking users into connecting to a rogue access point.",,Kali
veil,Exploitation and Attack,70. Malware Creation Tools,"A framework that can be used to generate payloads and bypass antivirus detection, which can be useful for penetration testing and red teaming.",,Kali
recon-ng,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A full-featured web reconnaissance framework written in Python, capable of gathering a variety of information about a target.",,Kali
dnsrecon,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to perform various DNS enumeration and zone transfer techniques, as well as other DNS-related reconnaissance tasks.",,Kali
dnsenum,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to enumerate DNS information, including subdomains, emails, and related IP addresses.",,Kali
zenmap-kbx,$,$,"A graphical user interface for the Nmap security scanner, providing a user-friendly way to perform network reconnaissance.",,Kali
whatweb,Web Security,3. Web Application Analysis,"A web scanner that can be used to identify the technologies used by a website, such as content management systems, web frameworks, and server software.",,Kali
scapy,Network and Protocol Analysis,52. Network Protocol Analysis,"A powerful network packet manipulation tool that can be used for a variety of tasks, including network discovery, packet crafting, and protocol analysis.",,Kali
reaver,Wireless Security,6. Wireless Attacks,"A tool that can be used to brute-force the WPS (Wi-Fi Protected Setup) PIN of a wireless access point, allowing for the recovery of the WPA/WPA2 passphrase.",,Kali
parsero,Web Security,3. Web Application Analysis,A tool that can be used to discover robots.txt files and analyze their contents for potential information disclosure.,,Kali
dsniff,Sniffing & Spoofing,9. Sniffing & Spoofing,"A collection of tools for network auditing and penetration testing, including packet sniffing and password cracking.",,Kali
arpwatch,Networking Tools,14. Networking Tools,"A tool that can be used to monitor and log changes in Ethernet MAC address to IP address mappings, which can be useful for detecting network intrusions and anomalies.",,Kali
sherlock,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,A tool that can be used to find usernames across various social media platforms and search engines.,,Kali
netexec,Exploitation and Attack,8. Exploitation Tools,"A tool that can be used to execute arbitrary commands on remote Windows systems, potentially leading to further exploitation and lateral movement.",,Kali
legion,$,$,"A tool that can be used to automate various security testing tasks, including reconnaissance, enumeration, and exploitation.",,Kali
lbd,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to detect load-balancing on a web server, determining if a website is hosted on multiple servers.",,Kali
kismet,Wireless Security,6. Wireless Attacks,"A wireless network detector, sniffer, and intrusion detection system that can be used to identify and analyze wireless networks and devices.",,Kali
impacket-scripts,Exploitation and Attack,8. Exploitation Tools,"A collection of Python scripts that can be used to perform various attacks and enumeration tasks, particularly against Windows systems and Active Directory environments.",,Kali
havoc,$,$,"A tool that can be used to perform various attacks and exploits against web applications, including SQL injection, cross-site scripting (XSS), and other vulnerabilities.",,Kali
dirsearch,Web Security,3. Web Application Analysis,"A tool that can be used to brute-force directories and files on web servers, identifying hidden or sensitive content.",,Kali
crackmapexec,Exploitation and Attack,8. Exploitation Tools,"A tool that can be used to quickly audit the security of Windows and Active Directory environments, including the ability to execute commands, steal credentials, and more.",,Kali
chntpw,Post-Exploitation,22. Privilege Escalation,"A tool that can be used to reset the password of a local Windows user account, which can be useful for bypassing authentication or gaining access to a system.",,Kali
wordlists,Password Attacks,26. Password Attacks,A collection of pre-built wordlists that can be used for password cracking and other security testing purposes.,,Kali
ghidra,Reverse Engineering and Binary Analysis,33. Code Analysis,"A powerful reverse engineering tool that can be used to disassemble and analyze binary files, including malware and other security-related artifacts.",,Kali
foremost,Forensics,11. Forensics,"A tool that can be used to recover files from disk images or damaged file systems, which can be useful for digital forensics and incident response.",,Kali
fcrackzip,Password Attacks,26. Password Attacks,"A tool that can be used to crack password-protected ZIP archives, which can be useful for recovering sensitive data or gaining access to encrypted resources.",,Kali
eyewitness,Reporting and Documentation,17. Reporting Tools,"A tool that can be used to take screenshots of websites, which can be useful for documenting web application vulnerabilities or creating visual reports.",,Kali
evil-winrm,Exploitation and Attack,8. Exploitation Tools,"A powerful tool for performing remote code execution on Windows systems, which can be used for post-exploitation activities and lateral movement.",,Kali
enum4linux,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to enumerate information from Windows and Samba systems, including users, shares, and passwords.",,Kali
cryptsetup,Operating System Security,75. Linux Specific Tools,"A tool that can be used to set up encrypted filesystems, which can be useful for protecting sensitive data or creating secure storage volumes.",,Kali
chkrootkit,Defense and Incident Response,46. Incident Response,"A tool that can be used to scan a system for the presence of rootkits, which are malicious software designed to hide the presence of an attacker on a compromised system.",,Kali
binwalk,Reverse Engineering and Binary Analysis,30. Firmware Analysis Tools,"A tool that can be used to analyze, reverse engineer, and extract firmware images, which can be useful for security research and vulnerability discovery.",,Kali
bettercap,Sniffing & Spoofing,9. Sniffing & Spoofing,"A powerful network attack and security testing framework that can be used for a variety of tasks, including packet sniffing, man-in-the-middle attacks, and more.",,Kali
yara,Forensics,11. Forensics,A tool that can be used to create and apply 'rules' that allow you to identify and classify malware samples and other binary artifacts.,,Kali
trufflehog,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to search for potential sensitive data, such as API keys and credentials, across various source code repositories.",,Kali
subfinder,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to discover subdomains, which can be useful for mapping the attack surface of a target organization.",,Kali
sparrow-wifi,$,$,"A tool that can be used to perform wireless security audits, including features for rogue access point detection, client monitoring, and attack simulation.",,Kali
shellter,Exploitation and Attack,70. Malware Creation Tools,"A dynamic shellcode injection tool, which can be used to bypass antivirus detection and embed payloads into benign executables.",,Kali
set,Exploitation and Attack,13. Social Engineering Tools,"A toolkit for conducting social engineering attacks, including phishing, web site cloning, and malware delivery.",,Kali
nbtscan,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to scan a network for NetBIOS name information, enumerating hostnames and other details.",,Kali
masscan,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"An extremely fast TCP port scanner, capable of scanning the entire Internet in under 6 minutes.",,Kali
httrack,Reporting and Documentation,17. Reporting Tools,"A tool that can be used to download a website and its contents for offline browsing, which can be useful for creating local copies of websites for security testing or documentation.",,Kali
gophish,Exploitation and Attack,13. Social Engineering Tools,"A tool that can be used to create and deploy phishing campaigns, including features for creating fake websites, sending emails, and tracking campaign results.",,Kali
goldeneye,Exploitation and Attack,8. Exploitation Tools,"A tool that can be used to perform denial-of-service attacks against web servers, potentially disrupting the availability of a target system.",,Kali
firewalk,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to perform DNS reconnaissance, including zone transfers, subdomain bruteforcing, and other techniques to gather information about a target.",,Kali
dmitry,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to gather information about a target, including subdomains, email addresses, uptime, and more.",,Kali
chisel,$,$,"A tool that can be used to create secure tunnels through firewalls and NAT devices, which can be useful for bypassing network restrictions or establishing covert communication channels.",,Kali
xsser,Web Security,3. Web Application Analysis,A tool that can be used to test for and exploit cross-site scripting (XSS) vulnerabilities in web applications.,,Kali
wifipumpkin3,$,$,"A framework for performing wireless penetration testing, including features for creating rogue access points, conducting man-in-the-middle attacks, and launching phishing campaigns.",,Kali
wfuzz,Web Security,3. Web Application Analysis,"A tool that can be used to brute-force web applications, finding hidden directories, pages, and other content.",,Kali
wafw00f,Web Security,3. Web Application Analysis,A tool that can be used to identify and fingerprint web application firewalls (WAFs) protecting a website.,,Kali
sublist3r,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to discover subdomains of a target domain, which can be useful for mapping the attack surface and identifying potential vulnerabilities.",,Kali
socat,Networking Tools,14. Networking Tools,"A versatile tool for working with TCP/IP connections, which can be used for a variety of tasks such as port forwarding, file transfers, and remote shell access.",,Kali
smbmap,Exploitation and Attack,8. Exploitation Tools,"A tool that can be used to enumerate share permissions on Windows systems, allowing for further exploitation or lateral movement.",,Kali
skipfish,Web Security,3. Web Application Analysis,A web application security scanner that can be used to discover and explore web-based attack surface.,,Kali
arp-scan,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,Scans a network for live hosts and their MAC addresses.,,Parrot
0trace,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,Traces the path to a host and provides information about the route.,,Parrot
amap,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Identifies the applications running on network ports, determining service and version information.",,Parrot
arping,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,Sends ARP requests to a network host to determine if it is online and active.,,Parrot
braa,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,Performs SNMP sweeps and enumerates information from SNMP-enabled devices.,,Parrot
thc-ipv6,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Performs various IPv6 network reconnaissance, exploitation, and denial-of-service attacks.",,Parrot
dmitry,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Gathers information about a target, including subdomains, email addresses, uptime, and more.",,Parrot
dnsenum,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Enumerates DNS information, including subdomains, emails, and related IP addresses.",,Parrot
dnsmap,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,Performs subdomain bruteforcing and zone transfer attempts against a target domain.,,Parrot
enum4linux,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Enumerates information from Windows and Samba systems, including users, shares, and passwords.",,Parrot
etherape,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Graphically displays network traffic, providing a visual representation of network activity.",,Parrot
fping,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,Scans multiple hosts to determine which ones are online and responding to ICMP packets.,,Parrot
gobuster,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Brute-forces directories and filenames on web servers, identifying hidden or sensitive content.",,Parrot
hping3,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A TCP/IP packet assembler and network traffic generator, used for network reconnaissance and testing.",,Parrot
ike-scan,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Discovers and fingerprints IKE hosts, used in VPN and security protocol implementations.",,Parrot
intrace,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Traces the path to a host, providing details about the network hops along the way.",,Parrot
irpas,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Interacts with and enumerates information from IPMI-enabled devices, such as remote management controllers.",,Parrot
lbd,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Detects load-balancing on a web server, determining if a website is hosted on multiple servers.",,Parrot
maltego,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,A powerful OSINT (Open-Source Intelligence) tool that can map relationships and information about a target.,,Parrot
masscan,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"An extremely fast TCP port scanner, capable of scanning the entire Internet in under 6 minutes.",,Parrot
nbtscan,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Scans a network for NetBIOS name information, enumerating hostnames and other details.",,Parrot
nmap,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Scans networks and systems to determine what hosts are live, what services they are running, and other details.",,Parrot
onesixtyone,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Performs SNMP enumeration, brute-forcing default community strings to gain access to SNMP-enabled devices.",,Parrot
p0f,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A passive TCP/IP fingerprinting tool, which can identify the operating system of a remote host.",,Parrot
recon-ng,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A full-featured web reconnaissance framework written in Python, capable of gathering a variety of information about a target.",,Parrot
smbmap,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Enumerates share permissions on Windows systems, allowing for further exploitation or lateral movement.",,Parrot
smtp-user-enum,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Tries to enumerate valid user accounts on a target SMTP server, which can be used for social engineering or password guessing.",,Parrot
snmpcheck,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,Enumerates information from SNMP-enabled devices,,Parrot
ssldump,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Captures and analyzes SSL/TLS network traffic, providing detailed information about encrypted connections.",,Parrot
sslscan,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Scans a target SSL/TLS-enabled service, determining the supported ciphers, protocols, and other security-related information.",,Parrot
sslyze,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Analyzes the SSL/TLS configuration of a target server, identifying potential security vulnerabilities.",,Parrot
swaks,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A command-line SMTP testing tool, used for sending email and enumerating SMTP server information.",,Parrot
theharvester,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"Gathers information about a target, including subdomains, email addresses, and open source intelligence (OSINT).",,Parrot
unicornscan,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,A TCP/UDP port scanner that can discover and enumerate information about live hosts on a network.,,Parrot
ismtp,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,A Python tool that can be used to enumerate valid email addresses on a target SMTP server.,,Parrot
python3-shodan,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,A Python library for interacting with the Shodan search engine to gather information about Internet-connected devices.,,Parrot
emailharvester,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can extract email addresses from various sources, such as web pages, PDF files, and text documents.",,Parrot
instaloader,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to download posts, stories, highlights and profile information from Instagram.",,Parrot
inspy,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool that can be used to gather information about a target from various social media platforms, such as LinkedIn, Twitter, and Facebook.",,Parrot
sherlock,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,A tool that can be used to find usernames across various social media platforms and search engines.,,Parrot
nmapsi4,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A graphical user interface (GUI) for the Nmap security scanner, providing a user-friendly way to perform network reconnaissance.",,Parrot
afl,Fuzzing and Vulnerability Discovery,38. Fuzzing Tools,A fuzz testing tool that can be used to discover security vulnerabilities in software by providing malformed input.,,Parrot
doona,Exploitation and Attack,8. Exploitation Tools,A tool for executing command injection attacks against vulnerable web applications.,,Parrot
dhcpig,Exploitation and Attack,6. Wireless Attacks,A tool that can be used to perform denial-of-service attacks against DHCP servers.,,Parrot
enumiax,Exploitation and Attack,6. Wireless Attacks,"A tool that can be used to enumerate and attack the InterAsterisk eXchange (IAX) protocol, which is commonly used in VoIP systems.",,Parrot
gvm,Fuzzing and Vulnerability Discovery,38. Fuzzing Tools,"A framework for vulnerability management, including components for scanning, analysis, and reporting.",,Parrot
iaxflood,Exploitation and Attack,6. Wireless Attacks,"A tool that can be used to perform denial-of-service attacks against the InterAsterisk eXchange (IAX) protocol, which is commonly used in VoIP systems.",,Parrot
inviteflood,Exploitation and Attack,6. Wireless Attacks,"A tool that can be used to perform denial-of-service attacks against the Session Initiation Protocol (SIP), which is commonly used in VoIP systems.",,Parrot
dsniff,Sniffing & Spoofing,9. Sniffing & Spoofing,"A collection of tools for network auditing and penetration testing, including packet sniffing and password cracking.",,Parrot
ohrwurm,Exploitation and Attack,8. Exploitation Tools,A small and simple RTP audio torture test decoder that can be used for fuzzing and vulnerability discovery.,,Parrot
protos-sip,Exploitation and Attack,6. Wireless Attacks,"A tool that can be used to test the security of SIP-based VoIP systems, including denial-of-service attacks and other exploits.",,Parrot
rtpbreak,Sniffing & Spoofing,9. Sniffing & Spoofing,"A tool that can be used to detect, analyze, and characterize Real-time Transport Protocol (RTP) streams.",,Parrot
rtpflood,Exploitation and Attack,6. Wireless Attacks,A tool that can be used to perform denial-of-service attacks against RTP-based VoIP systems.,,Parrot
rtpinsertsound,Sniffing & Spoofing,9. Sniffing & Spoofing,"A tool that can be used to insert audio into an existing RTP stream, which can be used for various attacks or malicious purposes.",,Parrot
rtpmixsound,Sniffing & Spoofing,9. Sniffing & Spoofing,"A tool that can be used to mix audio from multiple RTP streams, which can be used for various attacks or malicious purposes.",,Parrot
sipp,Exploitation and Attack,6. Wireless Attacks,"A SIP traffic generator tool, which can be used to create various types of SIP traffic for testing and auditing purposes.",,Parrot
slowhttptest,Exploitation and Attack,8. Exploitation Tools,"A tool that can be used to perform denial-of-service attacks against web servers by sending slow, but valid, HTTP requests.",,Parrot
spike,Exploitation and Attack,8. Exploitation Tools,"A network protocol fuzzer framework, which can be used to discover vulnerabilities in network services and applications.",,Parrot
sipvicious,Exploitation and Attack,6. Wireless Attacks,"A suite of tools for auditing SIP-based VoIP systems, including tools for scanning, enumerating, and attacking SIP devices.",,Parrot
thc-ssl-dos,Exploitation and Attack,8. Exploitation Tools,A tool that can be used to perform denial-of-service attacks against SSL/TLS-enabled services.,,Parrot
unix-privesc-check,Post-Exploitation,22. Privilege Escalation,A script that can be used to check for privilege escalation vulnerabilities on Unix-like systems.,,Parrot
voiphopper,Exploitation and Attack,6. Wireless Attacks,"A tool that can be used to perform various attacks against VoIP systems, including SIP registration hijacking and denial-of-service.",,Parrot
yersinia,Exploitation and Attack,6. Wireless Attacks,"A framework for layer 2 attacks, which can be used to exploit vulnerabilities in various network protocols, such as DHCP, CDP, STP, and others.",,Parrot
siparmyknife,Exploitation and Attack,6. Wireless Attacks,"A tool for auditing and attacking SIP-based VoIP systems, including capabilities for scanning, enumeration, and exploitation.",,Parrot
sctpscan,Exploitation and Attack,6. Wireless Attacks,"A tool that can be used to scan for and enumerate SCTP (Stream Control Transmission Protocol) services, which are often used in VoIP and other telephony applications.",,Parrot
cisco-ocs,Exploitation and Attack,8. Exploitation Tools,"A tool that can be used to obtain information about Cisco devices, such as login credentials and configuration details.",,Parrot
cisco-torch,Exploitation and Attack,8. Exploitation Tools,"A tool that can be used to perform various attacks against Cisco devices, such as password guessing, DoS, and information gathering.",,Parrot
copy-router-config,Exploitation and Attack,8. Exploitation Tools,"A tool that can be used to download the configuration file from a Cisco router, which may contain sensitive information such as passwords and network details.",,Parrot
burpsuite,Web Security,3. Web Application Analysis,"A comprehensive tool for testing the security of web applications, including features for proxy, scanner, intruder, and more.",,Parrot
commix,Exploitation and Attack,8. Exploitation Tools,A tool that can be used to test for and exploit command injection vulnerabilities in web applications.,,Parrot
davtest,Web Security,3. Web Application Analysis,A tool that can be used to test for and exploit vulnerabilities in WebDAV-enabled web servers.,,Parrot
dirb,Web Security,3. Web Application Analysis,A tool that can be used to find hidden web directories and files by brute-forcing common file names and paths.,,Parrot
dirbuster,Web Security,3. Web Application Analysis,A graphical tool that can be used to find hidden web directories and files by brute-forcing common file names and paths.,,Parrot
gobuster,Web Security,3. Web Application Analysis,A tool that can be used to find hidden web directories and files by brute-forcing common file names and paths.,,Parrot
joomscan,Web Security,3. Web Application Analysis,A tool that can be used to scan Joomla-based websites for vulnerabilities and security issues.,,Parrot
jsql-injection,Exploitation and Attack,8. Exploitation Tools,A tool that can be used to test for and exploit SQL injection vulnerabilities in web applications.,,Parrot
nikto,Web Security,3. Web Application Analysis,A web server scanner that can be used to identify potential vulnerabilities and security issues in web servers and web applications.,,Parrot
padbuster,Web Security,3. Web Application Analysis,A tool that can be used to perform Padding Oracle attacks against web applications that use cryptography.,,Parrot
skipfish,Web Security,3. Web Application Analysis,A web application security scanner that can be used to discover and explore web-based attack surface.,,Parrot
wfuzz,Web Security,3. Web Application Analysis,"A tool that can be used to brute-force web applications, finding hidden directories, pages, and other content.",,Parrot
whatweb,Web Security,3. Web Application Analysis,"A web scanner that can be used to identify the technologies used by a website, such as content management systems, web frameworks, and server software.",,Parrot
wig,Web Security,3. Web Application Analysis,"A web application information gathering tool that can be used to gather information about a website, including technologies used, website structure, and potential vulnerabilities.",,Parrot
wpscan,Web Security,3. Web Application Analysis,A tool that can be used to scan WordPress-based websites for vulnerabilities and security issues.,,Parrot
xsser,Web Security,3. Web Application Analysis,A tool that can be used to test for and exploit cross-site scripting (XSS) vulnerabilities in web applications.,,Parrot
zaproxy,Web Security,3. Web Application Analysis,A graphical web application security scanner that can be used to identify vulnerabilities in web applications.,,Parrot
wafw00f,Web Security,3. Web Application Analysis,A tool that can be used to identify and fingerprint web application firewalls (WAFs) protecting a website.,,Parrot
parsero,Web Security,3. Web Application Analysis,A tool that can be used to discover robots.txt files and analyze their contents for potential information disclosure.,,Parrot
armitage,Exploitation and Attack,8. Exploitation Tools,"A graphical user interface for the Metasploit Framework, which can be used to perform network attacks and exploits.",,Parrot
beef-xss,Exploitation and Attack,8. Exploitation Tools,"A framework for developing and deploying cross-site scripting (XSS) exploits, which can be used to gain control of a victim's web browser.",,Parrot
commix,Exploitation and Attack,8. Exploitation Tools,A tool that can be used to test for and exploit command injection vulnerabilities in web applications.,,Parrot
